127.0.0.1 - - [07/Jul/2022:09:32:41 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/index.jsp HTTP/1.1" 200 12548
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/js/script.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/gif/pre-loader.gif HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/gif/ajax-loader.gif HTTP/1.1" 200 14574
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/images/vku.png HTTP/1.1" 200 55951
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/images/body.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/favicons/favicon.ico HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:43 +0700] "GET /test/favicons/favicon-32x32.png HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:50 +0700] "GET /test/index.jsp HTTP/1.1" 200 12548
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:50 +0700] "GET /test/gif/pre-loader.gif HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:50 +0700] "GET /test/js/script.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:32:50 +0700] "GET /test/images/body.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:00 +0700] "GET /test/home.jsp HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:00 +0700] "GET /test/css/style.css HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:00 +0700] "GET /test/gif/pre-loader.gif HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:00 +0700] "GET /test/js/script.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:00 +0700] "GET /test/images/background.jpg HTTP/1.1" 200 350265
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:12 +0700] "GET /test/index.jsp HTTP/1.1" 200 12548
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:12 +0700] "GET /test/js/script.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:12 +0700] "GET /test/gif/pre-loader.gif HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:12 +0700] "GET /test/images/body.jpg HTTP/1.1" 200 50605
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:14 +0700] "GET /test/index.jsp HTTP/1.1" 200 12548
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:14 +0700] "GET /test/gif/pre-loader.gif HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:14 +0700] "GET /test/js/script.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:28 +0700] "GET /test/ HTTP/1.1" 200 12548
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:28 +0700] "GET /test/js/script.js HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:28 +0700] "GET /test/gif/pre-loader.gif HTTP/1.1" 200 75110
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:32 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [07/Jul/2022:09:33:32 +0700] "GET /test/images/sinhvien/21IT010.jpg HTTP/1.1" 200 49596
