127.0.0.1 - - [03/Jul/2022:21:25:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:25:30 +0700] "GET /test/index.jsp HTTP/1.1" 200 7622
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:25:30 +0700] "GET /test/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:25:30 +0700] "GET /test/gif/pre-loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:25:30 +0700] "GET /test/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:25:30 +0700] "GET /test/favicons/favicon.ico HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:26:09 +0700] "GET /test/index.jsp HTTP/1.1" 200 7622
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:26:09 +0700] "GET /test/favicons/favicon-32x32.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:26:09 +0700] "GET /test/favicons/favicon-16x16.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:05 +0700] "GET /test/index.jsp HTTP/1.1" 200 7591
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:05 +0700] "GET /gif/ajax-loader.gif HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:05 +0700] "GET /favicons/favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:05 +0700] "GET /favicons/favicon-32x32.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:05 +0700] "GET /favicons/favicon-16x16.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:07 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 9633
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:07 +0700] "GET /test/%EF%BF%BDPNG%1A%EF%BF%BD%EF%BF%BD%EF%BF%BDIHDR%EF%BF%BD%EF%BF%BD%02%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%08%06%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%C3%AC%EF%BF%BD%EF%BF%BD%EF%BF%BD%01sRGB%EF%BF%BD%EF%BF%BD%EF%BF%BD%1C%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%04gAMA%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%0B%EF%BF%BDa%05%EF%BF%BD%EF%BF%BD%EF%BF%BDpHYs%EF%BF%BD%EF%BF%BD%12t%EF%BF%BD%EF%BF%BD%12t%01%EF%BF%BDf%1Fx%EF%BF%BD%EF%BF%BD%14,IDATx%5E%EF%BF%BD%DD%BF%EF%BF%BD HTTP/1.1" 404 1225
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:10 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:10 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:11 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:11 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:12 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:12 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:12 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:12 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:12 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:12 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:12 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:12 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:13 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:13 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:13 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:13 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:13 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:13 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:14 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:14 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:14 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:14 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:14 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:14 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:56 +0700] "GET /test/index.jsp HTTP/1.1" 200 7592
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:56 +0700] "GET /test/gif/ajax-loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:27:59 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:00 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:00 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:00 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:00 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:00 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:00 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:01 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:01 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
